,tx_hash,index,type,raw_amount,dollar_value,token_contract_address,token_name,token_dollar_value,from,to,sender,timestamp
0,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,0,Transfer,807452531860501402532,,0xb0699d63aef20df3f1cffa9ca2bb8670416271d2,None,None,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,0xe1ebdf64f7f3a31723e767a561345f958233bb7d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
1,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,0,Transfer,400000000000000000,1263.62802734375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3159.070068359375,0xe1ebdf64f7f3a31723e767a561345f958233bb7d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
2,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,0,Burn,400000000000000000,1263.62802734375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3159.070068359375,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,None,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
3,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,0,Transfer,400000000000000000,1263.27197265625,None,Ethereum,3158.179931640625,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
4,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,0,Transfer,400000000000000000,1263.27197265625,None,Ethereum,3158.179931640625,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
5,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,2,Transfer,849211506914041613620,,0xb0699d63aef20df3f1cffa9ca2bb8670416271d2,None,None,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,0xe1ebdf64f7f3a31723e767a561345f958233bb7d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
6,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,2,Transfer,400000000000000000,1263.62802734375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3159.070068359375,0xe1ebdf64f7f3a31723e767a561345f958233bb7d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
7,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,2,Burn,400000000000000000,1263.62802734375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3159.070068359375,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,None,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
8,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,2,Transfer,400000000000000000,1263.27197265625,None,Ethereum,3158.179931640625,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
9,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,2,Transfer,400000000000000000,1263.27197265625,None,Ethereum,3158.179931640625,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,1710162059
